p1,0,25,10
p2,5,5,25
p3,15,10,5
p4,25,25,20
p5,23,18,13
p6,10,5,0
p7,15,10,5
p8,6,1,6
p9,55,50,45
p10,65,60,55
p11,80,75,70
p12,20,15,10
p13,23,18,13
p14,67,62,57
p15,85,80,75
p16,7,2,2
p17,9,4,3
p18,78,73,68
p19,97,92,87
p20,10,5,0
p21,7,2,3
p22,77,72,67
p23,74,69,64
p24,50,45,10
p25,31,26,15
p26,43,38,6
p27,56,51,55
p28,98,93,65
p29,76,71,80
p30,99,94,20
p31,8,3,23
p32,65,60,67
p33,54,49,85
p34,44,39,7
p35,33,28,9
p36,34,29,69
p37,46,41,60
p38,67,62,75
p39,46,41,42
p40,3,25,56
p41,32,27,71
p42,45,40,9
p43,73,68,64
p44,48,43,35
p45,50,45,37
p46,44,39,34
p47,46,41,36
p48,76,71,66
p49,51,47,42
p50,55,51,46
p51,65,61,56
p52,35,31,35
p53,23,19,23
p54,25,21,25
p55,25,21,25
p56,12,8,12
p57,17,13,17
p58,69,65,69
p59,60,56,60
p60,75,70,75
p61,42,37,42
p62,56,51,46
p63,71,66,61
p64,9,4,11
p65,8,3,2
p66,50,45,40
p67,40,32,27
p68,30,22,17
p69,90,82,77
p70,54,46,42
p71,68,60,56
p72,78,70,66
p73,56,48,44
p74,32,24,20
p75,56,48,44
p76,77,69,65
p77,89,81,77
p78,80,72,68
p79,70,66,42
p80,80,76,56
p81,90,86,71
p82,12,8,9
p83,34,30,8
p84,56,52,50
p85,77,73,71
p86,89,85,9
p87,80,76,8
p88,75,67,50
p89,42,34,40
p90,56,51,30
p91,71,66,90
p92,9,4,5
p93,8,3,6
p94,50,45,15
p95,40,35,10
p96,30,25,12
p97,90,85,50
p98,54,30,23
p99,68,65,5
p100,78,55,43
p101,56,51,10
p102,32,27,4
p103,48,50,5
p104,50,45,21
p105,44,40,10
p106,46,70,22
p107,76,10,23
p108,51,46,40
